month,entity,account_category,amount,currency,amount_usd
2023-01,ParentCo,Revenue,380000.0,USD,380000.0
2023-01,ParentCo,COGS,57000.0,USD,57000.0
2023-01,ParentCo,Opex:Marketing,76000.0,USD,76000.0
2023-01,ParentCo,Opex:Sales,45600.0,USD,45600.0
2023-01,ParentCo,Opex:R&D,30400.0,USD,30400.0
2023-01,ParentCo,Opex:Admin,22800.0,USD,22800.0
2023-01,EMEA,Revenue,95000.0,EUR,103075.0
2023-01,EMEA,COGS,15200.0,EUR,16492.0
2023-01,EMEA,Opex:Marketing,14250.0,EUR,15461.25
2023-01,EMEA,Opex:Sales,9500.0,EUR,10307.5
2023-01,EMEA,Opex:Admin,4750.0,EUR,5153.75
2023-02,ParentCo,Revenue,420000.0,USD,420000.0
2023-02,ParentCo,COGS,63000.0,USD,63000.0
2023-02,ParentCo,Opex:Marketing,84000.0,USD,84000.0
2023-02,ParentCo,Opex:Sales,50400.0,USD,50400.0
2023-02,ParentCo,Opex:R&D,33600.0,USD,33600.0
2023-02,ParentCo,Opex:Admin,25200.0,USD,25200.0
2023-02,EMEA,Revenue,105000.0,EUR,114660.00000000001
2023-02,EMEA,COGS,16800.0,EUR,18345.600000000002
2023-02,EMEA,Opex:Marketing,15750.0,EUR,17199.0
2023-02,EMEA,Opex:Sales,10500.0,EUR,11466.0
2023-02,EMEA,Opex:Admin,5250.0,EUR,5733.0
2023-03,ParentCo,Revenue,445000.0,USD,445000.0
2023-03,ParentCo,COGS,66750.0,USD,66750.0
2023-03,ParentCo,Opex:Marketing,89000.0,USD,89000.0
2023-03,ParentCo,Opex:Sales,53400.0,USD,53400.0
2023-03,ParentCo,Opex:R&D,35600.0,USD,35600.0
2023-03,ParentCo,Opex:Admin,26700.0,USD,26700.0
2023-03,EMEA,Revenue,108000.0,EUR,116424.00000000001
2023-03,EMEA,COGS,17280.0,EUR,18627.84
2023-03,EMEA,Opex:Marketing,16200.0,EUR,17463.600000000002
2023-03,EMEA,Opex:Sales,10800.0,EUR,11642.400000000001
2023-03,EMEA,Opex:Admin,5400.0,EUR,5821.200000000001
2023-04,ParentCo,Revenue,435000.0,USD,435000.0
2023-04,ParentCo,COGS,65250.0,USD,65250.0
2023-04,ParentCo,Opex:Marketing,87000.0,USD,87000.0
2023-04,ParentCo,Opex:Sales,52200.0,USD,52200.0
2023-04,ParentCo,Opex:R&D,34800.0,USD,34800.0
2023-04,ParentCo,Opex:Admin,26100.0,USD,26100.0
2023-04,EMEA,Revenue,112000.0,EUR,123536.0
2023-04,EMEA,COGS,17920.0,EUR,19765.76
2023-04,EMEA,Opex:Marketing,16800.0,EUR,18530.4
2023-04,EMEA,Opex:Sales,11200.0,EUR,12353.6
2023-04,EMEA,Opex:Admin,5600.0,EUR,6176.8
2023-05,ParentCo,Revenue,465000.0,USD,465000.0
2023-05,ParentCo,COGS,69750.0,USD,69750.0
2023-05,ParentCo,Opex:Marketing,93000.0,USD,93000.0
2023-05,ParentCo,Opex:Sales,55800.0,USD,55800.0
2023-05,ParentCo,Opex:R&D,37200.0,USD,37200.0
2023-05,ParentCo,Opex:Admin,27900.0,USD,27900.0
2023-05,EMEA,Revenue,118000.0,EUR,128502.0
2023-05,EMEA,COGS,18880.0,EUR,20560.32
2023-05,EMEA,Opex:Marketing,17700.0,EUR,19275.3
2023-05,EMEA,Opex:Sales,11800.0,EUR,12850.199999999999
2023-05,EMEA,Opex:Admin,5900.0,EUR,6425.099999999999
2023-06,ParentCo,Revenue,490000.0,USD,490000.0
2023-06,ParentCo,COGS,73500.0,USD,73500.0
2023-06,ParentCo,Opex:Marketing,98000.0,USD,98000.0
2023-06,ParentCo,Opex:Sales,58800.0,USD,58800.0
2023-06,ParentCo,Opex:R&D,39200.0,USD,39200.0
2023-06,ParentCo,Opex:Admin,29400.0,USD,29400.0
2023-06,EMEA,Revenue,115000.0,EUR,126040.00000000001
2023-06,EMEA,COGS,18400.0,EUR,20166.4
2023-06,EMEA,Opex:Marketing,17250.0,EUR,18906.0
2023-06,EMEA,Opex:Sales,11500.0,EUR,12604.000000000002
2023-06,EMEA,Opex:Admin,5750.0,EUR,6302.000000000001
2023-07,ParentCo,Revenue,485000.0,USD,485000.0
2023-07,ParentCo,COGS,72750.0,USD,72750.0
2023-07,ParentCo,Opex:Marketing,97000.0,USD,97000.0
2023-07,ParentCo,Opex:Sales,58200.0,USD,58200.0
2023-07,ParentCo,Opex:R&D,38800.0,USD,38800.0
2023-07,ParentCo,Opex:Admin,29100.0,USD,29100.0
2023-07,EMEA,Revenue,125000.0,EUR,139000.0
2023-07,EMEA,COGS,20000.0,EUR,22240.000000000004
2023-07,EMEA,Opex:Marketing,18750.0,EUR,20850.000000000004
2023-07,EMEA,Opex:Sales,12500.0,EUR,13900.000000000002
2023-07,EMEA,Opex:Admin,6250.0,EUR,6950.000000000001
2023-08,ParentCo,Revenue,510000.0,USD,510000.0
2023-08,ParentCo,COGS,76500.0,USD,76500.0
2023-08,ParentCo,Opex:Marketing,102000.0,USD,102000.0
2023-08,ParentCo,Opex:Sales,61200.0,USD,61200.0
2023-08,ParentCo,Opex:R&D,40800.0,USD,40800.0
2023-08,ParentCo,Opex:Admin,30600.0,USD,30600.0
