month,entity,account_category,amount,currency,amount_usd
2023-01,ParentCo,Revenue,400000,USD,400000.0
2023-01,ParentCo,COGS,56000,USD,56000.0
2023-01,ParentCo,Opex:Marketing,72000,USD,72000.0
2023-01,ParentCo,Opex:Sales,44000,USD,44000.0
2023-01,ParentCo,Opex:R&D,32000,USD,32000.0
2023-01,ParentCo,Opex:Admin,24000,USD,24000.0
2023-01,EMEA,Revenue,103000,EUR,111755.0
2023-01,EMEA,COGS,15450,EUR,16763.25
2023-01,EMEA,Opex:Marketing,14420,EUR,15645.699999999999
2023-01,EMEA,Opex:Sales,9270,EUR,10057.949999999999
2023-01,EMEA,Opex:Admin,5150,EUR,5587.75
2023-02,ParentCo,Revenue,441000,USD,441000.0
2023-02,ParentCo,COGS,61740,USD,61740.0
2023-02,ParentCo,Opex:Marketing,79380,USD,79380.0
2023-02,ParentCo,Opex:Sales,48510,USD,48510.0
2023-02,ParentCo,Opex:R&D,35280,USD,35280.0
2023-02,ParentCo,Opex:Admin,26460,USD,26460.0
2023-02,EMEA,Revenue,113400,EUR,123832.8
2023-02,EMEA,COGS,17010,EUR,18574.920000000002
2023-02,EMEA,Opex:Marketing,15876,EUR,17336.592
2023-02,EMEA,Opex:Sales,10206,EUR,11144.952000000001
2023-02,EMEA,Opex:Admin,5670,EUR,6191.64
2023-03,ParentCo,Revenue,467250,USD,467250.0
2023-03,ParentCo,COGS,65415,USD,65415.0
2023-03,ParentCo,Opex:Marketing,84105,USD,84105.0
2023-03,ParentCo,Opex:Sales,51399,USD,51399.0
2023-03,ParentCo,Opex:R&D,37380,USD,37380.0
2023-03,ParentCo,Opex:Admin,28035,USD,28035.0
2023-03,EMEA,Revenue,116640,EUR,125737.92000000001
2023-03,EMEA,COGS,17496,EUR,18860.688000000002
2023-03,EMEA,Opex:Marketing,16330,EUR,17603.74
2023-03,EMEA,Opex:Sales,10498,EUR,11316.844000000001
2023-03,EMEA,Opex:Admin,5832,EUR,6286.896000000001
2023-04,ParentCo,Revenue,456750,USD,456750.0
2023-04,ParentCo,COGS,63945,USD,63945.0
2023-04,ParentCo,Opex:Marketing,82215,USD,82215.0
2023-04,ParentCo,Opex:Sales,50243,USD,50243.0
2023-04,ParentCo,Opex:R&D,36540,USD,36540.0
2023-04,ParentCo,Opex:Admin,27405,USD,27405.0
2023-04,EMEA,Revenue,120960,EUR,133418.88
2023-04,EMEA,COGS,18144,EUR,20012.832
2023-04,EMEA,Opex:Marketing,16934,EUR,18678.202
2023-04,EMEA,Opex:Sales,10886,EUR,12007.258
2023-04,EMEA,Opex:Admin,6048,EUR,6670.9439999999995
2023-05,ParentCo,Revenue,488250,USD,488250.0
2023-05,ParentCo,COGS,68355,USD,68355.0
2023-05,ParentCo,Opex:Marketing,87885,USD,87885.0
2023-05,ParentCo,Opex:Sales,53708,USD,53708.0
2023-05,ParentCo,Opex:R&D,39060,USD,39060.0
2023-05,ParentCo,Opex:Admin,29295,USD,29295.0
2023-05,EMEA,Revenue,127440,EUR,138782.16
2023-05,EMEA,COGS,19116,EUR,20817.324
2023-05,EMEA,Opex:Marketing,17842,EUR,19429.938
2023-05,EMEA,Opex:Sales,11470,EUR,12490.83
2023-05,EMEA,Opex:Admin,6372,EUR,6939.108
2023-06,ParentCo,Revenue,514500,USD,514500.0
2023-06,ParentCo,COGS,72030,USD,72030.0
2023-06,ParentCo,Opex:Marketing,92610,USD,92610.0
2023-06,ParentCo,Opex:Sales,56595,USD,56595.0
2023-06,ParentCo,Opex:R&D,41160,USD,41160.0
2023-06,ParentCo,Opex:Admin,30870,USD,30870.0
2023-06,EMEA,Revenue,124200,EUR,136123.2
2023-06,EMEA,COGS,18630,EUR,20418.480000000003
2023-06,EMEA,Opex:Marketing,17388,EUR,19057.248000000003
2023-06,EMEA,Opex:Sales,11178,EUR,12251.088000000002
2023-06,EMEA,Opex:Admin,6210,EUR,6806.160000000001
2023-07,ParentCo,Revenue,509250,USD,509250.0
2023-07,ParentCo,COGS,71295,USD,71295.0
2023-07,ParentCo,Opex:Marketing,91665,USD,91665.0
2023-07,ParentCo,Opex:Sales,56018,USD,56018.0
2023-07,ParentCo,Opex:R&D,40740,USD,40740.0
2023-07,ParentCo,Opex:Admin,30555,USD,30555.0
2023-07,EMEA,Revenue,135000,EUR,150120.0
2023-07,EMEA,COGS,20250,EUR,22518.000000000004
2023-07,EMEA,Opex:Marketing,18900,EUR,21016.800000000003
2023-07,EMEA,Opex:Sales,12150,EUR,13510.800000000001
2023-07,EMEA,Opex:Admin,6750,EUR,7506.000000000001
2023-08,ParentCo,Revenue,535500,USD,535500.0
2023-08,ParentCo,COGS,74970,USD,74970.0
2023-08,ParentCo,Opex:Marketing,96390,USD,96390.0
2023-08,ParentCo,Opex:Sales,58905,USD,58905.0
2023-08,ParentCo,Opex:R&D,42840,USD,42840.0
2023-08,ParentCo,Opex:Admin,32130,USD,32130.0
2023-08,EMEA,Revenue,142560,EUR,154962.72
2023-08,EMEA,COGS,21384,EUR,23244.408
2023-08,EMEA,Opex:Marketing,19958,EUR,21694.345999999998
2023-08,EMEA,Opex:Sales,12830,EUR,13946.21
2023-08,EMEA,Opex:Admin,7128,EUR,7748.1359999999995
2023-09,ParentCo,Revenue,519750,USD,519750.0
2023-09,ParentCo,COGS,72765,USD,72765.0
2023-09,ParentCo,Opex:Marketing,93555,USD,93555.0
2023-09,ParentCo,Opex:Sales,57173,USD,57173.0
2023-09,ParentCo,Opex:R&D,41580,USD,41580.0
2023-09,ParentCo,Opex:Admin,31185,USD,31185.0
2023-09,EMEA,Revenue,138240,EUR,151787.52000000002
2023-09,EMEA,COGS,20736,EUR,22768.128
2023-09,EMEA,Opex:Marketing,19354,EUR,21250.692000000003
2023-09,EMEA,Opex:Sales,12442,EUR,13661.316
2023-09,EMEA,Opex:Admin,6912,EUR,7589.376
2023-10,ParentCo,Revenue,546000,USD,546000.0
2023-10,ParentCo,COGS,76440,USD,76440.0
2023-10,ParentCo,Opex:Marketing,98280,USD,98280.0
2023-10,ParentCo,Opex:Sales,60060,USD,60060.0
2023-10,ParentCo,Opex:R&D,43680,USD,43680.0
2023-10,ParentCo,Opex:Admin,32760,USD,32760.0
2023-10,EMEA,Revenue,149040,EUR,160367.04
2023-10,EMEA,COGS,22356,EUR,24055.056
2023-10,EMEA,Opex:Marketing,20866,EUR,22451.816000000003
2023-10,EMEA,Opex:Sales,13414,EUR,14433.464000000002
2023-10,EMEA,Opex:Admin,7452,EUR,8018.352000000001
2023-11,ParentCo,Revenue,561750,USD,561750.0
2023-11,ParentCo,COGS,78645,USD,78645.0
2023-11,ParentCo,Opex:Marketing,101115,USD,101115.0
2023-11,ParentCo,Opex:Sales,61793,USD,61793.0
2023-11,ParentCo,Opex:R&D,44940,USD,44940.0
2023-11,ParentCo,Opex:Admin,33705,USD,33705.0
2023-11,EMEA,Revenue,153360,EUR,167315.76
2023-11,EMEA,COGS,23004,EUR,25097.363999999998
2023-11,EMEA,Opex:Marketing,21470,EUR,23423.77
2023-11,EMEA,Opex:Sales,13802,EUR,15057.982
2023-11,EMEA,Opex:Admin,7668,EUR,8365.788
2023-12,ParentCo,Revenue,588000,USD,588000.0
2023-12,ParentCo,COGS,82320,USD,82320.0
2023-12,ParentCo,Opex:Marketing,105840,USD,105840.0
2023-12,ParentCo,Opex:Sales,64680,USD,64680.0
2023-12,ParentCo,Opex:R&D,47040,USD,47040.0
2023-12,ParentCo,Opex:Admin,35280,USD,35280.0
2023-12,EMEA,Revenue,156600,EUR,173043.0
2023-12,EMEA,COGS,23490,EUR,25956.45
2023-12,EMEA,Opex:Marketing,21924,EUR,24226.02
2023-12,EMEA,Opex:Sales,14094,EUR,15573.869999999999
2023-12,EMEA,Opex:Admin,7830,EUR,8652.15
2024-01,ParentCo,Revenue,572250,USD,572250.0
2024-01,ParentCo,COGS,80115,USD,80115.0
2024-01,ParentCo,Opex:Marketing,103005,USD,103005.0
2024-01,ParentCo,Opex:Sales,62947,USD,62947.0
2024-01,ParentCo,Opex:R&D,45780,USD,45780.0
2024-01,ParentCo,Opex:Admin,34335,USD,34335.0
2024-01,EMEA,Revenue,159840,EUR,173106.72
2024-01,EMEA,COGS,23976,EUR,25966.007999999998
2024-01,EMEA,Opex:Marketing,22378,EUR,24235.374
2024-01,EMEA,Opex:Sales,14384,EUR,15577.872
2024-01,EMEA,Opex:Admin,7992,EUR,8655.336
2024-02,ParentCo,Revenue,603750,USD,603750.0
